S.No,Name,Latitude,Longitude
217,PHC Khanpur Khuhi,31.2379,76.3636
218,PHC Manvi,30.4357,75.8921
219,PHC Dhilwan,31.5110,75.3421
220,PHC Tallewal,30.4923,75.4157
221,PHC Badian,30.2868,74.5426
222,PHC Patto Hira Singh,30.5977,75.2339
223,PHC Ghiala,32.1576,75.6515
224,PHC Baloki,31.0204,75.4271
225,PHC Wadala Bangar,31.9549,75.1601
226,PHC Jalalabad (East),30.9041,75.2331
227,PHC Tahliwala Bodla,30.3805,74.1573
228,PHC Kathunangal,31.7224,75.0289
229,PHC Kabirpur,31.2131,75.1102
230,PHC Kularan,30.1401,76.1127
231,PHC Ranipur,31.2998,75.7398
232,PHC Chowkiman,30.8131,75.5629
233,PHC Waryam Khera,30.0197,74.0775
234,UPHC QILA REHMATGARH,0.0000,0.0000
235,UPHC Basant Avenue,31.6613,74.8669
236,PHC Kala Afghana,31.8786,75.0399
237,PHC Panniwala Mahala,30.0031,73.9660
238,PHC Gill Manj,31.8823,75.3756
239,PHC Chawinda Devi,31.7189,75.0575
240,PHC Mandi Kalan,30.2131,75.2528
241,RC Janta Nagar,30.8791,75.8659
242,PHC Khankhana,31.1521,75.9547
243,PHC Kabarwala,30.1940,74.4082
244,UPHC Bhargho Camp,31.3137,75.5655
245,PHC Bhasaur,30.4357,75.8921
246,PHC Nurpur Sethan,30.8762,74.6373
247,PHC Ghungrali Sikha,30.8136,76.2453
248,PHC Panje Ke Uttar,30.7068,74.3123
249,PHC Behniwal,29.9327,75.1990
250,PHC Sarai Amanat Khan,31.5095,74.6917
251,PHC Maniana,29.7488,75.9243
252,PHC Biroke Kalan,29.9934,75.5925
253,UPHC 1,31.1224,76.1109
254,PHC Karar wala,30.2922,75.2922
255,PHC Singhewala,30.0204,74.6916
256,PHC Barath Sahib,32.2512,75.5486
257,PHC Threawal,31.7746,75.0602
258,RH Rangar Nangal,31.7184,75.2403
259,PHC TAHLI SAHIB,31.7120,75.1242
260,PHC Bhikhiwind,31.3475,74.6975
261,Phc Isru,30.6779,76.1184
262,PHC Sukhanand,30.5294,75.0466
263,PHC Karni Khera,30.3747,73.9810
264,Jandiala,31.1651,75.6167
265,PHC Siarh,30.6922,75.9190
266,PHC GAJJUMAJRA,30.2644,76.1952
267,PHC Paniali,31.0129,76.3983
268,PHC Dhanetha,30.1084,76.1978
269,PHC Lande,30.6642,74.9761
270,PHC Ajrawar,30.3726,76.5493
271,PHC Katarian,31.2539,75.9398
272,PHC Sujjon,31.2087,76.0721
273,PHC Sabhra,31.1830,74.8519
274,PHC Kakrala,30.3667,76.0920
275,UPHC Maqsudan,31.3601,75.5533
276,PHC CHETANPURA,31.7700,74.9057
277,PHC Kathgarh,31.0323,76.3795
278,PHC Jeeda,30.3815,74.9786
279,PHC Bharta Khurd,31.0553,76.0758
280,PHC Bassian,30.6518,75.5397
281,PHC KALYAN,30.3581,76.3052
282,PHC Teona,30.1742,74.8359
283,PHC KAULI,30.4108,76.5171
284,PHC Ranjit Bagh,32.0680,75.4493
285,PHC Kundal,30.2161,74.2693
286,PHC Daleke,31.4186,74.8750
287,PHC Wadala Wiram,31.8220,74.9845
288,PHC Golewala,30.7806,74.7037
289,PHC Ganduan,30.0043,75.7491
290,PHC Dhaipai,30.0855,75.6138
291,PHC Fatehpur,30.5236,76.1466
292,PHC Mauj Garh,30.0654,73.9871
293,PHC Balari Kalan,30.6345,76.4843
294,PHC Jandwala Bhimeshah,30.4007,74.2749
295,UPHC Salem Tabri,30.9335,75.8385
296,PHC HASSANPUR,30.3845,76.4020
297,PHC Mohie,30.8045,75.6834
298,PHC Surastigarh,30.2393,76.5113
299,PHC Lohatbadhi,30.6199,75.6973
300,PHC Bagrihan,31.4829,74.9681
301,PHC Killian Wali,30.1474,74.1185
302,PHC Nadampur,30.2595,76.1169
303,PHC Bhumbli,31.9375,75.3835
304,PHC Gowara,30.5050,75.9647
305,UPHC GAwal Mandi,31.6355,74.8534
306,PHC Khosa Dal Singh,30.9707,74.8475
307,PHC Uttalon,30.8157,76.1956
308,PHC Gehal,30.5512,75.4456
309,PHC Ubha,30.1138,75.3568
310,PHC Khai Pheme Ki,30.9068,74.5524
311,PHC Bathal,31.3069,76.1003
312,PHC Dunera,32.4445,75.8843
313,PHC Boparai Kalan,30.8000,75.6377
314,PHC Nawanpind,31.6423,75.0156
315,PHC Purkhali,30.9373,76.6311
316,PHC Andlu,30.6735,75.6867
317,PHC Wakilan Wala,30.9419,74.9320
318,PHC Pakka Kalan,30.0348,74.8509
319,PHC Taragarh,32.1978,75.4567
320,PHC BHINDER,31.5369,75.1922
321,PHC Jabowal,31.1730,76.0879
322,PHC Kandila,31.7670,75.3504
323,PHC Kalakh,30.7103,75.7877
324,PHC LANDRA,30.6958,76.6622
325,RC Bhagwan Nagar,30.8892,75.8745
326,PHC Phaphre Bhai Ke,29.9855,75.5074
327,PHC Jand Sahib,30.7222,74.6165
328,PHC Diyal Pura Miza,30.3972,75.1339
329,PHC Bhathlan,30.2877,75.6319
330,PHC Brar,31.6686,74.6795
331,PHC Thathi Bhai,30.5705,75.0120
332,UPHC Kangra Colony,31.6374,74.8910
333,PHC Chak Atar Singh Wala,30.1058,74.7316
334,PHC Jhumian Wali,30.2591,74.1886
335,PHC Khanauri Kalan,29.8360,76.1087
336,PHC Dharamkot Randhawa,32.0078,74.9797
337,PHC Surtapur Faram,30.9548,76.4606
338,Goraya,31.1222,75.7721
339,PHC Gurusar,30.5276,74.8962
340,PHC Jakhepal,30.0649,75.7293
341,PHC Lakho Ke Behram,30.8339,74.4584
342,PHC KALLAR BHAINI,30.2555,76.3693
343,UPHC Such Khand Road,0.0000,0.0000
344,Kot Badal Khan,31.0513,75.5552
345,PHC Nabipur,30.5780,76.4357
346,PHC Panj Grain,31.7745,75.2822
347,PHC Maiser Khana,30.1040,75.1734
348,Bhai Sahib Singh Memorial Sattelite Hospital,31.6204,74.8681
349,PHC Mallan,30.4013,74.7357
350,3 B1 MOHALI,30.7089,76.7235
351,PHC Mardanpur,30.4143,76.6780
352,PHC Valtoha,31.2024,74.6387
353,PHC Bharath,31.7417,75.4255
354,PHC Dher,31.2705,76.4480
355,PHC Atholi,31.2277,75.7193
356,UPHC Ram Bagh Urban Area,31.6294,74.8813
357,PHC Latala,30.6832,75.7529
358,PHC Amroli,30.8299,76.4120
359,PHC Kethera,31.3638,76.3734
360,PHC Shekha,30.3627,75.6472
361,PHC Mallianwala,30.7432,75.1832
362,PHC Bamyal,32.2918,75.3786
363,PHC Bargari,30.5212,74.9491
